,textDisplay,normalized_text,texttokens,Stemming,polarity_score,polarity
248,kok lucu ya harusnya bersukur bisa dapat barang lebih murah lha seharusnya ya produk kita ya di bantu memperbaiki biar bisa lebih murah sudah sulit,kok lucu ya harusnya bersukur bisa dapat barang lebih murah lah seharusnya ya produk kita ya di bantu memperbaiki biar bisa lebih murah sudah sulit,"['kok', 'lucu', 'ya', 'harusnya', 'bersukur', 'bisa', 'dapat', 'barang', 'lebih', 'murah', 'lah', 'seharusnya', 'ya', 'produk', 'kita', 'ya', 'di', 'bantu', 'memperbaiki', 'biar', 'bisa', 'lebih', 'murah', 'sudah', 'sulit']",kok lucu ya harus bersukur bisa dapat barang lebih murah lah harus ya produk kita ya di bantu baik biar bisa lebih murah sudah sulit,28,positif
249,alasannya karena barang barang murah dan ilegal dari china lah kemana aja itu dirjen perdagangan dirjen beacukai dirjen pajak nyalahin teknologi perketat dong kerjaannya buat kebijakan yang bener dodol,alasannya karena barang barang murah dan ilegal dari china lah kemana saja itu dirjen perdagangan dirjen beacukai dirjen pajak menyalahkan teknologi perketat dong kerjaannya buat kebijakan yang benar dodol,"['alasannya', 'karena', 'barang', 'barang', 'murah', 'dan', 'ilegal', 'dari', 'china', 'lah', 'kemana', 'saja', 'itu', 'dirjen', 'perdagangan', 'dirjen', 'beacukai', 'dirjen', 'pajak', 'menyalahkan', 'teknologi', 'perketat', 'dong', 'kerjaannya', 'buat', 'kebijakan', 'yang', 'benar', 'dodol']",alas karena barang barang murah dan ilegal dari china lah mana saja itu dirjen dagang dirjen beacukai dirjen pajak salah teknologi ketat dong kerja buat bijak yang benar dodol,-15,negatif
250,menyelamatkan umkm atau menyelamatkan pengusaha besar pemilik platfrom digital lain,menyelamatkan umkm atau menyelamatkan pengusaha besar pemilik platfrom digital lain,"['menyelamatkan', 'umkm', 'atau', 'menyelamatkan', 'pengusaha', 'besar', 'pemilik', 'platfrom', 'digital', 'lain']",selamat umkm atau selamat usaha besar milik platfrom digital lain,12,positif
251,tiktokshop tidak jalan jangan khawatir kita pergi ke ig saja,tiktokshop tidak jalan jangan khawatir kita pergi ke ig saja,"['tiktokshop', 'tidak', 'jalan', 'jangan', 'khawatir', 'kita', 'pergi', 'ke', 'ig', 'saja']",tiktokshop tidak jalan jangan khawatir kita pergi ke ig saja,-9,negatif
252,masih yakin sama aki aki memimpin negeri ini bukan nya maju malah kembali ke zaman batu tetapi aneh nya kok kata lembaga survei aki aki jadi pilihan generasi gen z anak muda ini gen z nya apa survei nya yang rusak,masih yakin sama aki aki memimpin negeri ini bukan nya maju malah kembali ke zaman batu tetapi aneh nya kok kata lembaga survei aki aki jadi pilihan generasi gen saja anak muda ini gen saja nya apa survei nya yang rusak,"['masih', 'yakin', 'sama', 'aki', 'aki', 'memimpin', 'negeri', 'ini', 'bukan', 'nya', 'maju', 'malah', 'kembali', 'ke', 'zaman', 'batu', 'tetapi', 'aneh', 'nya', 'kok', 'kata', 'lembaga', 'survei', 'aki', 'aki', 'jadi', 'pilihan', 'generasi', 'gen', 'saja', 'anak', 'muda', 'ini', 'gen', 'saja', 'nya', 'apa', 'survei', 'nya', 'yang', 'rusak']",masih yakin sama aki aki pimpin negeri ini bukan nya maju malah kembali ke zaman batu tetapi aneh nya kok kata lembaga survei aki aki jadi pilih generasi gen saja anak muda ini gen saja nya apa survei nya yang rusak,-15,negatif
253,saya tidak yakin tuh gara gara tiktok pasar tanah abang jadi sepi pasar sepi itu biasanya gejala krisis karena daya beli rendah kok tiktok jadi sasaran,saya tidak yakin tuh gara gara tiktok pasar tanah abang jadi sepi pasar sepi itu biasanya gejala krisis karena daya beli rendah kok tiktok jadi sasaran,"['saya', 'tidak', 'yakin', 'tuh', 'gara', 'gara', 'tiktok', 'pasar', 'tanah', 'abang', 'jadi', 'sepi', 'pasar', 'sepi', 'itu', 'biasanya', 'gejala', 'krisis', 'karena', 'daya', 'beli', 'rendah', 'kok', 'tiktok', 'jadi', 'sasaran']",saya tidak yakin tuh gara gara tiktok pasar tanah abang jadi sepi pasar sepi itu biasa gejala krisis karena daya beli rendah kok tiktok jadi sasar,-27,negatif
254,yang judi online juga,yang judi online juga,"['yang', 'judi', 'online', 'juga']",yang judi online juga,-5,negatif
257,aturan sampah di akhir masa jabatan ini sama halnya aturan psbb dan lain sebagainya yang akan hilang dengan sendirinya,aturan sampah di akhir masa jabatan ini sama halnya aturan psbb dan lain sebagainya yang akan hilang dengan sendirinya,"['aturan', 'sampah', 'di', 'akhir', 'masa', 'jabatan', 'ini', 'sama', 'halnya', 'aturan', 'psbb', 'dan', 'lain', 'sebagainya', 'yang', 'akan', 'hilang', 'dengan', 'sendirinya']",atur sampah di akhir masa jabat ini sama hal atur psbb dan lain bagai yang akan hilang dengan sendiri,-5,negatif
258,fenomena ini sama dengan waktu ojol pertama kali masuk banyak pihak termasuk ojek pangkalan dan pemerintah ribut melarangnya sekali lagi kaya beginian tidak bisa dibendung yang perlu dilakukan adalah bagaimana memamfaatkannya agar bisnis kita tetap survive,fenomena ini sama dengan waktu ojol pertama kali masuk banyak pihak termasuk ojek pangkalan dan pemerintah ribut melarangnya sekali lagi kayak beginian tidak bisa dibendung yang perlu dilakukan adalah bagaimana memamfaatkannya agar bisnis kita tetap survive,"['fenomena', 'ini', 'sama', 'dengan', 'waktu', 'ojol', 'pertama', 'kali', 'masuk', 'banyak', 'pihak', 'termasuk', 'ojek', 'pangkalan', 'dan', 'pemerintah', 'ribut', 'melarangnya', 'sekali', 'lagi', 'kayak', 'beginian', 'tidak', 'bisa', 'dibendung', 'yang', 'perlu', 'dilakukan', 'adalah', 'bagaimana', 'memamfaatkannya', 'agar', 'bisnis', 'kita', 'tetap', 'survive']",fenomena ini sama dengan waktu ojol pertama kali masuk banyak pihak masuk ojek pangkal dan perintah ribut larang sekali lagi kayak begini tidak bisa bendung yang perlu laku adalah bagaimana memamfaatkannya agar bisnis kita tetap survive,-18,negatif
259,suka suka pemerintah selalu ribetkan masyarakat,suka suka pemerintah selalu ribetkan masyarakat,"['suka', 'suka', 'pemerintah', 'selalu', 'ribetkan', 'masyarakat']",suka suka perintah selalu ribetkan masyarakat,6,positif
260,semoga pemerintah paham dengan hadirnya platform tiktokshop ini banyak sekali membantu masyarakat indonesia yang tidak punya modal usaha tapi ingin usaha ya inilah menurut saya platform terbaik jadi bisa mengurangi angka penganguran yang cukup besar tiktokshop bisa membantu masyarakat yang ingin belajar mandiri berwira usaha dengan income pasif ini yang seharusnya di dorong umkm bisa maju untuk teknologi katanya indonesia pengen maju ada kayak begini sudah suruh nutup kalau ditutup tidak adil kalau berani tutup semua dampaknya pengangguran akan naik sangat pesat,semoga pemerintah paham dengan hadirnya platform tiktokshop ini banyak sekali membantu masyarakat indonesia yang tidak punya modal usaha tapi ingin usaha ya inilah menurut saya platform terbaik jadi bisa mengurangi angka penganguran yang cukup besar tiktokshop bisa membantu masyarakat yang ingin belajar mandiri berwira usaha dengan income pasif ini yang seharusnya di dorong umkm bisa maju untuk teknologi katanya indonesia pengin maju ada kayak begini sudah suruh nutup kalau ditutup tidak adil kalau berani tutup semua dampaknya pengangguran akan naik sangat pesat,"['semoga', 'pemerintah', 'paham', 'dengan', 'hadirnya', 'platform', 'tiktokshop', 'ini', 'banyak', 'sekali', 'membantu', 'masyarakat', 'indonesia', 'yang', 'tidak', 'punya', 'modal', 'usaha', 'tapi', 'ingin', 'usaha', 'ya', 'inilah', 'menurut', 'saya', 'platform', 'terbaik', 'jadi', 'bisa', 'mengurangi', 'angka', 'penganguran', 'yang', 'cukup', 'besar', 'tiktokshop', 'bisa', 'membantu', 'masyarakat', 'yang', 'ingin', 'belajar', 'mandiri', 'berwira', 'usaha', 'dengan', 'income', 'pasif', 'ini', 'yang', 'seharusnya', 'di', 'dorong', 'umkm', 'bisa', 'maju', 'untuk', 'teknologi', 'katanya', 'indonesia', 'pengin', 'maju', 'ada', 'kayak', 'begini', 'sudah', 'suruh', 'nutup', 'kalau', 'ditutup', 'tidak', 'adil', 'kalau', 'berani', 'tutup', 'semua', 'dampaknya', 'pengangguran', 'akan', 'naik', 'sangat', 'pesat']",moga perintah paham dengan hadir platform tiktokshop ini banyak sekali bantu masyarakat indonesia yang tidak punya modal usaha tapi ingin usaha ya ini turut saya platform baik jadi bisa kurang angka penganguran yang cukup besar tiktokshop bisa bantu masyarakat yang ingin ajar mandiri wira usaha dengan income pasif ini yang harus di dorong umkm bisa maju untuk teknologi kata indonesia pengin maju ada kayak begini sudah suruh nutup kalau tutup tidak adil kalau berani tutup semua dampak anggur akan naik sangat pesat,-24,negatif
261,keputusan paling goblok di bumi,keputusan paling goblok di bumi,"['keputusan', 'paling', 'goblok', 'di', 'bumi']",putus paling goblok di bumi,-2,negatif
262,menurut saya jangan hanya tiktokshop platform lain juga harus ditutup biar adil jangan setengah pikir pakai logika apakah dengan nutup tiktok shop pasar tanah abang ramai lagi kan masih banyak ecommers yang lain dan masyarakat sekarang pak sudah pintar pilih efisiensi waktu dari pada waktu terbuang di jalan harga dipasar harus disidak juga yang over harganya kalau tidak mampu nawar ya udah kena harga sangat tinggi dan tidak masuk akal ini yang harus dievaluasi di pasar terapkan harga yang sama biar masyarakat tidak resah juga harga pakaian sangat mahal ketika mereka bralih di ecommers tidak boleh melarang karena masyarakat beli sesuai kemampuan fisialnya semoga didengar pemerintah,menurut saya jangan hanya tiktokshop platform lain juga harus ditutup biar adil jangan setengah pikir pakai logika apakah dengan nutup tiktok shop pasar tanah abang ramai lagi kan masih banyak ecommers yang lain dan masyarakat sekarang pak sudah pintar pilih efisiensi waktu dari pada waktu terbuang di jalan harga dipasar harus disidak juga yang over harganya kalau tidak mampu nawar ya sudah kena harga sangat tinggi dan tidak masuk akal ini yang harus dievaluasi di pasar terapkan harga yang sama biar masyarakat tidak resah juga harga pakaian sangat mahal ketika mereka bralih di ecommers tidak boleh melarang karena masyarakat beli sesuai kemampuan fisialnya semoga didengar pemerintah,"['menurut', 'saya', 'jangan', 'hanya', 'tiktokshop', 'platform', 'lain', 'juga', 'harus', 'ditutup', 'biar', 'adil', 'jangan', 'setengah', 'pikir', 'pakai', 'logika', 'apakah', 'dengan', 'nutup', 'tiktok', 'shop', 'pasar', 'tanah', 'abang', 'ramai', 'lagi', 'kan', 'masih', 'banyak', 'ecommers', 'yang', 'lain', 'dan', 'masyarakat', 'sekarang', 'pak', 'sudah', 'pintar', 'pilih', 'efisiensi', 'waktu', 'dari', 'pada', 'waktu', 'terbuang', 'di', 'jalan', 'harga', 'dipasar', 'harus', 'disidak', 'juga', 'yang', 'over', 'harganya', 'kalau', 'tidak', 'mampu', 'nawar', 'ya', 'sudah', 'kena', 'harga', 'sangat', 'tinggi', 'dan', 'tidak', 'masuk', 'akal', 'ini', 'yang', 'harus', 'dievaluasi', 'di', 'pasar', 'terapkan', 'harga', 'yang', 'sama', 'biar', 'masyarakat', 'tidak', 'resah', 'juga', 'harga', 'pakaian', 'sangat', 'mahal', 'ketika', 'mereka', 'bralih', 'di', 'ecommers', 'tidak', 'boleh', 'melarang', 'karena', 'masyarakat', 'beli', 'sesuai', 'kemampuan', 'fisialnya', 'semoga', 'didengar', 'pemerintah']",turut saya jangan hanya tiktokshop platform lain juga harus tutup biar adil jangan tengah pikir pakai logika apakah dengan nutup tiktok shop pasar tanah abang ramai lagi kan masih banyak ecommers yang lain dan masyarakat sekarang pak sudah pintar pilih efisiensi waktu dari pada waktu buang di jalan harga pasar harus disidak juga yang over harga kalau tidak mampu nawar ya sudah kena harga sangat tinggi dan tidak masuk akal ini yang harus evaluasi di pasar terap harga yang sama biar masyarakat tidak resah juga harga pakai sangat mahal ketika mereka bralih di ecommers tidak boleh larang karena masyarakat beli sesuai mampu fisialnya moga dengar perintah,-45,negatif
263,sama saja itu shopee toped bukalapak bagaimana jual barang lokal abal yang merugikan konsumen,sama saja itu shopee toped bukalapak bagaimana jual barang lokal abal yang merugikan konsumen,"['sama', 'saja', 'itu', 'shopee', 'toped', 'bukalapak', 'bagaimana', 'jual', 'barang', 'lokal', 'abal', 'yang', 'merugikan', 'konsumen']",sama saja itu shopee toped bukalapak bagaimana jual barang lokal abal yang rugi konsumen,-11,negatif
264,judi online meraja lela dibiarin saja,judi online meraja lela dibiarkan saja,"['judi', 'online', 'meraja', 'lela', 'dibiarkan', 'saja']",judi online raja lela biar saja,-6,negatif
265,dilarang ya tambah sepi,dilarang ya tambah sepi,"['dilarang', 'ya', 'tambah', 'sepi']",larang ya tambah sepi,1,positif
266,mantap,mantap,['mantap'],mantap,5,positif
267,saya suka tiktokshop karena biaya ongkir murah ke pulau kalimantan jadi saya agak kecewa kalau tiktokshop ditutup,saya suka tiktokshop karena biaya ongkir murah ke pulau kalimantan jadi saya agak kecewa kalau tiktokshop ditutup,"['saya', 'suka', 'tiktokshop', 'karena', 'biaya', 'ongkir', 'murah', 'ke', 'pulau', 'kalimantan', 'jadi', 'saya', 'agak', 'kecewa', 'kalau', 'tiktokshop', 'ditutup']",saya suka tiktokshop karena biaya ongkir murah ke pulau kalimantan jadi saya agak kecewa kalau tiktokshop tutup,-5,negatif
268,media masa cenderung membuat kesimpulan sendiri dan memanas manaskan masyarakat yang tidak sesuai fakta kenyataannya tiktokshop di sarankan untuk memisahkan ecommerce nya dan media sosial nya artinya social commerce itu dilarang bukan berarti tiktok itu dilarang sepenuhnya untuk menyediakan laya ecommerce nya,media masa cenderung membuat kesimpulan sendiri dan memanas manaskan masyarakat yang tidak sesuai fakta kenyataannya tiktokshop di sarankan untuk memisahkan ecommerce nya dan media sosial nya artinya social commerce itu dilarang bukan berarti tiktok itu dilarang sepenuhnya untuk menyediakan laya ecommerce nya,"['media', 'masa', 'cenderung', 'membuat', 'kesimpulan', 'sendiri', 'dan', 'memanas', 'manaskan', 'masyarakat', 'yang', 'tidak', 'sesuai', 'fakta', 'kenyataannya', 'tiktokshop', 'di', 'sarankan', 'untuk', 'memisahkan', 'ecommerce', 'nya', 'dan', 'media', 'sosial', 'nya', 'artinya', 'social', 'commerce', 'itu', 'dilarang', 'bukan', 'berarti', 'tiktok', 'itu', 'dilarang', 'sepenuhnya', 'untuk', 'menyediakan', 'laya', 'ecommerce', 'nya']",media masa cenderung buat simpul sendiri dan panas manaskan masyarakat yang tidak sesuai fakta nyata tiktokshop di saran untuk pisah ecommerce nya dan media sosial nya arti social commerce itu larang bukan arti tiktok itu larang sepenuh untuk sedia laya ecommerce nya,-9,negatif
269,kebijakan dan kebiasaan pejabat korupsi ya suka dia aja aneh bin ajaib dasar kumpulan tukang palak inovasi dong,kebijakan dan kebiasaan pejabat korupsi ya suka dia saja aneh bin ajaib dasar kumpulan tukang palak inovasi dong,"['kebijakan', 'dan', 'kebiasaan', 'pejabat', 'korupsi', 'ya', 'suka', 'dia', 'saja', 'aneh', 'bin', 'ajaib', 'dasar', 'kumpulan', 'tukang', 'palak', 'inovasi', 'dong']",bijak dan biasa jabat korupsi ya suka dia saja aneh bin ajaib dasar kumpul tukang palak inovasi dong,5,positif
270,kalau menurut saya banyak kok umkm yang terbantu sama tiktokshop tolong di cabut lagi larangan ini dan dampaknya para umkm sama pelaku online shop akan banyak yang tutup jadinya pengangguran makin banyak,kalau menurut saya banyak kok umkm yang terbantu sama tiktokshop tolong di cabut lagi larangan ini dan dampaknya para umkm sama pelaku online shop akan banyak yang tutup jadinya pengangguran makin banyak,"['kalau', 'menurut', 'saya', 'banyak', 'kok', 'umkm', 'yang', 'terbantu', 'sama', 'tiktokshop', 'tolong', 'di', 'cabut', 'lagi', 'larangan', 'ini', 'dan', 'dampaknya', 'para', 'umkm', 'sama', 'pelaku', 'online', 'shop', 'akan', 'banyak', 'yang', 'tutup', 'jadinya', 'pengangguran', 'makin', 'banyak']",kalau turut saya banyak kok umkm yang bantu sama tiktokshop tolong di cabut lagi larang ini dan dampak para umkm sama laku online shop akan banyak yang tutup jadi anggur makin banyak,-11,negatif
271,pinjol tidak dilarang juga,pinjol tidak dilarang juga,"['pinjol', 'tidak', 'dilarang', 'juga']",pinjol tidak larang juga,-8,negatif
272,apa kabar dengan lazada shopee dan lain nya harus nya mereka dikenakan hal yang serupa,apa kabar dengan lazada shopee dan lain nya harus nya mereka dikenakan hal yang serupa,"['apa', 'kabar', 'dengan', 'lazada', 'shopee', 'dan', 'lain', 'nya', 'harus', 'nya', 'mereka', 'dikenakan', 'hal', 'yang', 'serupa']",apa kabar dengan lazada shopee dan lain nya harus nya mereka kena hal yang rupa,-15,negatif
273,tutup aja permanen soalnya beli sepatu yang datang sendal parah,tutup saja permanen soalnya beli sepatu yang datang sendal parah,"['tutup', 'saja', 'permanen', 'soalnya', 'beli', 'sepatu', 'yang', 'datang', 'sendal', 'parah']",tutup saja permanen soal beli sepatu yang datang sendal parah,-15,negatif
274,jangan cuma tiktok tapi semua ecommers harus ditinjau ulang mereka menjual produk dengan harga miring belum termasuk diskon dan free ongkir,jangan cuma tiktok tapi semua ecommers harus ditinjau ulang mereka menjual produk dengan harga miring belum termasuk diskon dan free ongkir,"['jangan', 'cuma', 'tiktok', 'tapi', 'semua', 'ecommers', 'harus', 'ditinjau', 'ulang', 'mereka', 'menjual', 'produk', 'dengan', 'harga', 'miring', 'belum', 'termasuk', 'diskon', 'dan', 'free', 'ongkir']",jangan cuma tiktok tapi semua ecommers harus tinjau ulang mereka jual produk dengan harga miring belum masuk diskon dan free ongkir,-9,negatif
275,nah betul setuju sama bapak ini umkm di indo atau penjual² menengah sedang itu harusnya diedukasi lebih bagaimana membuat produk menyesuaikan kebutuhan rakyat indonesia terus masyarakatnya ini menyukai sistem beli yang seperti apa kalau semua itu ada saya sebagai konsumen pasti larinya tidak akan ke online jangan banyak ngeluh saya sebagai konsumen kenapa memilih belanja online karena di online bisa memilih beratusan berjuta barang sesuai yang kita suka tanpa terbatas waktu kapanpun dan dimana aja bisa umkm dan pedagang menengah sedang cara promosinya masih biasa aja jadi gimana konsumen mau tertarik dan juga dulu kan hp canggih jarang lho sekarang zaman now satu manusia di indo hpnya aja banyak iphone promosi toko online pasti kenceng juga,nah betul setuju sama bapak ini umkm di indonesia atau penjual² menengah sedang itu harusnya diedukasi lebih bagaimana membuat produk menyesuaikan kebutuhan rakyat indonesia terus masyarakatnya ini menyukai sistem beli yang seperti apa kalau semua itu ada saya sebagai konsumen pasti larinya tidak akan ke online jangan banyak ngeluh saya sebagai konsumen kenapa memilih belanja online karena di online bisa memilih beratusan berjuta barang sesuai yang kita suka tanpa terbatas waktu kapanpun dan dimana saja bisa umkm dan pedagang menengah sedang cara promosinya masih biasa saja jadi bagaimana konsumen mau tertarik dan juga dulu kan hp canggih jarang lho sekarang zaman now satu manusia di indonesia hpnya saja banyak iphone promosi toko online pasti kencang juga,"['nah', 'betul', 'setuju', 'sama', 'bapak', 'ini', 'umkm', 'di', 'indonesia', 'atau', 'penjual²', 'menengah', 'sedang', 'itu', 'harusnya', 'diedukasi', 'lebih', 'bagaimana', 'membuat', 'produk', 'menyesuaikan', 'kebutuhan', 'rakyat', 'indonesia', 'terus', 'masyarakatnya', 'ini', 'menyukai', 'sistem', 'beli', 'yang', 'seperti', 'apa', 'kalau', 'semua', 'itu', 'ada', 'saya', 'sebagai', 'konsumen', 'pasti', 'larinya', 'tidak', 'akan', 'ke', 'online', 'jangan', 'banyak', 'ngeluh', 'saya', 'sebagai', 'konsumen', 'kenapa', 'memilih', 'belanja', 'online', 'karena', 'di', 'online', 'bisa', 'memilih', 'beratusan', 'berjuta', 'barang', 'sesuai', 'yang', 'kita', 'suka', 'tanpa', 'terbatas', 'waktu', 'kapanpun', 'dan', 'dimana', 'saja', 'bisa', 'umkm', 'dan', 'pedagang', 'menengah', 'sedang', 'cara', 'promosinya', 'masih', 'biasa', 'saja', 'jadi', 'bagaimana', 'konsumen', 'mau', 'tertarik', 'dan', 'juga', 'dulu', 'kan', 'hp', 'canggih', 'jarang', 'lho', 'sekarang', 'zaman', 'now', 'satu', 'manusia', 'di', 'indonesia', 'hpnya', 'saja', 'banyak', 'iphone', 'promosi', 'toko', 'online', 'pasti', 'kencang', 'juga']",nah betul tuju sama bapak ini umkm di indonesia atau jual tengah sedang itu harus edukasi lebih bagaimana buat produk sesuai butuh rakyat indonesia terus masyarakat ini suka sistem beli yang seperti apa kalau semua itu ada saya bagai konsumen pasti lari tidak akan ke online jangan banyak ngeluh saya bagai konsumen kenapa pilih belanja online karena di online bisa pilih ratus juta barang sesuai yang kita suka tanpa batas waktu kapan dan mana saja bisa umkm dan dagang tengah sedang cara promosi masih biasa saja jadi bagaimana konsumen mau tarik dan juga dulu kan hp canggih jarang lho sekarang zaman now satu manusia di indonesia hpnya saja banyak iphone promosi toko online pasti kencang juga,-4,negatif
